Date,Open,High,Low,Close,Adj Close,Volume
2020-11-16,3.250000,3.260000,3.180000,3.260000,1.374530,847000
2020-11-17,3.230000,3.290000,3.190000,3.220000,1.357665,1242400
2020-11-18,3.260000,3.260000,3.200000,3.220000,1.357665,577000
2020-11-19,3.190000,3.210000,3.150000,3.190000,1.345016,454900
2020-11-20,3.220000,3.220000,3.170000,3.190000,1.345016,570900
2020-11-23,3.200000,3.310000,3.190000,3.300000,1.391395,745200
2020-11-24,3.360000,3.520000,3.360000,3.510000,1.479939,917800
2020-11-25,3.440000,3.470000,3.350000,3.460000,1.458857,1241800
2020-11-27,3.380000,3.400000,3.350000,3.370000,1.420910,511100
2020-11-30,3.390000,3.390000,3.300000,3.310000,3.310000,508300
2020-12-01,3.380000,3.420000,3.310000,3.390000,3.390000,656100
2020-12-02,1.540000,2.230000,1.520000,1.730000,1.730000,63381200
2020-12-03,1.810000,1.960000,1.790000,1.880000,1.880000,56786900
2020-12-04,1.920000,2.540000,1.880000,2.110000,2.110000,43502400
2020-12-07,2.380000,2.380000,2.010000,2.060000,2.060000,26095200
2020-12-08,2.070000,2.090000,1.750000,1.820000,1.820000,34093900
2020-12-09,1.880000,1.910000,1.790000,1.810000,1.810000,20775400
2020-12-10,1.770000,1.810000,1.720000,1.790000,1.790000,11064500
2020-12-11,1.640000,1.670000,1.600000,1.660000,1.660000,22661000
2020-12-14,1.690000,1.720000,1.660000,1.700000,1.700000,18382000
2020-12-15,1.610000,1.640000,1.570000,1.620000,1.620000,12504000
2020-12-16,1.630000,1.640000,1.600000,1.610000,1.610000,7665000
2020-12-17,1.620000,1.620000,1.590000,1.610000,1.610000,10125000
2020-12-18,1.600000,1.620000,1.590000,1.620000,1.620000,7148600
2020-12-21,1.500000,1.590000,1.490000,1.550000,1.550000,14591400
2020-12-22,1.570000,1.580000,1.550000,1.550000,1.550000,7294400
2020-12-23,1.630000,1.630000,1.560000,1.600000,1.600000,6522700
2020-12-24,1.630000,1.780000,1.620000,1.720000,1.720000,12732000
